Values	total	status	pValue
Min.	73	smoker	0.6969980872789981
1st Qu.	76.75	smoker	0.6969980872789981
Median	95	smoker	0.6969980872789981
Mean	177.166666666667	smoker	0.6969980872789981
3rd Qu.	112.5	smoker	0.6969980872789981
Max.	611	smoker	0.6969980872789981
Min.	52	non-smoker	0.6969980872789981
1st Qu.	80.5	non-smoker	0.6969980872789981
Median	116	non-smoker	0.6969980872789981
Mean	144.666666666667	non-smoker	0.6969980872789981
3rd Qu.	162	non-smoker	0.6969980872789981
Max.	449	non-smoker	0.6969980872789981
