Values	total	status	pValue
Min.	18	smoker	0.6558432188224474
1st Qu.	84	smoker	0.6558432188224474
Median	101	smoker	0.6558432188224474
Mean	184.457142857143	smoker	0.6558432188224474
3rd Qu.	137	smoker	0.6558432188224474
Max.	2630	smoker	0.6558432188224474
Min.	11	non-smoker	0.6558432188224474
1st Qu.	71	non-smoker	0.6558432188224474
Median	92	non-smoker	0.6558432188224474
Mean	115.78125	non-smoker	0.6558432188224474
3rd Qu.	151.25	non-smoker	0.6558432188224474
Max.	443	non-smoker	0.6558432188224474
