Values	total	status	pValue
Min.	62	smoker	0.1487267083319759
1st Qu.	120	smoker	0.1487267083319759
Median	140	smoker	0.1487267083319759
Mean	188.444444444444	smoker	0.1487267083319759
3rd Qu.	241	smoker	0.1487267083319759
Max.	503	smoker	0.1487267083319759
Min.	124	non-smoker	0.1487267083319759
1st Qu.	137.5	non-smoker	0.1487267083319759
Median	158	non-smoker	0.1487267083319759
Mean	330.909090909091	non-smoker	0.1487267083319759
3rd Qu.	390.5	non-smoker	0.1487267083319759
Max.	912	non-smoker	0.1487267083319759
