Values	total	status	pValue
Min.	24	smoker	0.5010950896656836
1st Qu.	103	smoker	0.5010950896656836
Median	197	smoker	0.5010950896656836
Mean	256.2	smoker	0.5010950896656836
3rd Qu.	302	smoker	0.5010950896656836
Max.	1716	smoker	0.5010950896656836
Min.	19	non-smoker	0.5010950896656836
1st Qu.	94.75	non-smoker	0.5010950896656836
Median	177.5	non-smoker	0.5010950896656836
Mean	253.946428571429	non-smoker	0.5010950896656836
3rd Qu.	324.75	non-smoker	0.5010950896656836
Max.	1674	non-smoker	0.5010950896656836
