Values	total	status	pValue
Min.	72	smoker	0.4244290393502939
1st Qu.	163	smoker	0.4244290393502939
Median	182	smoker	0.4244290393502939
Mean	501.076923076923	smoker	0.4244290393502939
3rd Qu.	307	smoker	0.4244290393502939
Max.	3767	smoker	0.4244290393502939
Min.	82	non-smoker	0.4244290393502939
1st Qu.	89.5	non-smoker	0.4244290393502939
Median	188	non-smoker	0.4244290393502939
Mean	199	non-smoker	0.4244290393502939
3rd Qu.	286.5	non-smoker	0.4244290393502939
Max.	368	non-smoker	0.4244290393502939
