Values	total	status	pValue
Min.	37	smoker	0.08012645032560581
1st Qu.	92.25	smoker	0.08012645032560581
Median	128.5	smoker	0.08012645032560581
Mean	123	smoker	0.08012645032560581
3rd Qu.	145	smoker	0.08012645032560581
Max.	230	smoker	0.08012645032560581
Min.	63	non-smoker	0.08012645032560581
1st Qu.	116	non-smoker	0.08012645032560581
Median	140	non-smoker	0.08012645032560581
Mean	164.217391304348	non-smoker	0.08012645032560581
3rd Qu.	193	non-smoker	0.08012645032560581
Max.	495	non-smoker	0.08012645032560581
