Values	total	status	pValue
Min.	2	smoker	4.137876324019749e-5
1st Qu.	71.75	smoker	4.137876324019749e-5
Median	104.5	smoker	4.137876324019749e-5
Mean	117.161764705882	smoker	4.137876324019749e-5
3rd Qu.	143.25	smoker	4.137876324019749e-5
Max.	531	smoker	4.137876324019749e-5
Min.	1	non-smoker	4.137876324019749e-5
1st Qu.	41	non-smoker	4.137876324019749e-5
Median	62	non-smoker	4.137876324019749e-5
Mean	73.2459016393443	non-smoker	4.137876324019749e-5
3rd Qu.	97	non-smoker	4.137876324019749e-5
Max.	223	non-smoker	4.137876324019749e-5
