Values	total	status	pValue
Min.	2	smoker	0.11324181849263835
1st Qu.	68	smoker	0.11324181849263835
Median	134.5	smoker	0.11324181849263835
Mean	188.298387096774	smoker	0.11324181849263835
3rd Qu.	222.5	smoker	0.11324181849263835
Max.	1591	smoker	0.11324181849263835
Min.	1	non-smoker	0.11324181849263835
1st Qu.	60	non-smoker	0.11324181849263835
Median	101	non-smoker	0.11324181849263835
Mean	164.495495495496	non-smoker	0.11324181849263835
3rd Qu.	210.5	non-smoker	0.11324181849263835
Max.	780	non-smoker	0.11324181849263835
