Values	total	status	pValue
Min.	27	smoker	0.6905114448525407
1st Qu.	93	smoker	0.6905114448525407
Median	149	smoker	0.6905114448525407
Mean	435.615384615385	smoker	0.6905114448525407
3rd Qu.	243	smoker	0.6905114448525407
Max.	3722	smoker	0.6905114448525407
Min.	38	non-smoker	0.6905114448525407
1st Qu.	78	non-smoker	0.6905114448525407
Median	145	non-smoker	0.6905114448525407
Mean	157.909090909091	non-smoker	0.6905114448525407
3rd Qu.	233	non-smoker	0.6905114448525407
Max.	323	non-smoker	0.6905114448525407
