Values	total	status	pValue
Min.	3	smoker	0.6426470588235295
1st Qu.	32	smoker	0.6426470588235295
Median	45	smoker	0.6426470588235295
Mean	55.7692307692308	smoker	0.6426470588235295
3rd Qu.	63	smoker	0.6426470588235295
Max.	157	smoker	0.6426470588235295
Min.	28	non-smoker	0.6426470588235295
1st Qu.	38	non-smoker	0.6426470588235295
Median	49	non-smoker	0.6426470588235295
Mean	101.714285714286	non-smoker	0.6426470588235295
3rd Qu.	64.5	non-smoker	0.6426470588235295
Max.	430	non-smoker	0.6426470588235295
