Values	total	status	pValue
Min.	7	smoker	0.02034876028684078
1st Qu.	34.5	smoker	0.02034876028684078
Median	60	smoker	0.02034876028684078
Mean	54.3636363636364	smoker	0.02034876028684078
3rd Qu.	71.5	smoker	0.02034876028684078
Max.	97	smoker	0.02034876028684078
Min.	34	non-smoker	0.02034876028684078
1st Qu.	72.25	non-smoker	0.02034876028684078
Median	102	non-smoker	0.02034876028684078
Mean	372.875	non-smoker	0.02034876028684078
3rd Qu.	133.5	non-smoker	0.02034876028684078
Max.	2312	non-smoker	0.02034876028684078
