Values	total	status	pValue
Min.	80	smoker	0.07142857142857142
1st Qu.	101	smoker	0.07142857142857142
Median	218	smoker	0.07142857142857142
Mean	202.6	smoker	0.07142857142857142
3rd Qu.	278	smoker	0.07142857142857142
Max.	336	smoker	0.07142857142857142
Min.	42	non-smoker	0.07142857142857142
1st Qu.	53.5	non-smoker	0.07142857142857142
Median	65	non-smoker	0.07142857142857142
Mean	68.6666666666667	non-smoker	0.07142857142857142
3rd Qu.	82	non-smoker	0.07142857142857142
Max.	99	non-smoker	0.07142857142857142
