Values	total	status	pValue
Min.	1	smoker	0.0022508980058739414
1st Qu.	29	smoker	0.0022508980058739414
Median	57	smoker	0.0022508980058739414
Mean	65.6716417910448	smoker	0.0022508980058739414
3rd Qu.	84	smoker	0.0022508980058739414
Max.	397	smoker	0.0022508980058739414
Min.	1	non-smoker	0.0022508980058739414
1st Qu.	16.5	non-smoker	0.0022508980058739414
Median	33	non-smoker	0.0022508980058739414
Mean	40.8	non-smoker	0.0022508980058739414
3rd Qu.	60.25	non-smoker	0.0022508980058739414
Max.	183	non-smoker	0.0022508980058739414
