Values	total	status	pValue
Min.	11	smoker	0.09746052191476587
1st Qu.	36	smoker	0.09746052191476587
Median	54	smoker	0.09746052191476587
Mean	64.0869565217391	smoker	0.09746052191476587
3rd Qu.	71	smoker	0.09746052191476587
Max.	184	smoker	0.09746052191476587
Min.	3	non-smoker	0.09746052191476587
1st Qu.	22	non-smoker	0.09746052191476587
Median	35	non-smoker	0.09746052191476587
Mean	46.1428571428571	non-smoker	0.09746052191476587
3rd Qu.	56	non-smoker	0.09746052191476587
Max.	162	non-smoker	0.09746052191476587
