Values	total	status	pValue
Min.	112	smoker	0.6510201647685409
1st Qu.	116	smoker	0.6510201647685409
Median	173.5	smoker	0.6510201647685409
Mean	278.25	smoker	0.6510201647685409
3rd Qu.	348.75	smoker	0.6510201647685409
Max.	816	smoker	0.6510201647685409
Min.	1	non-smoker	0.6510201647685409
1st Qu.	81.5	non-smoker	0.6510201647685409
Median	140.5	non-smoker	0.6510201647685409
Mean	314.833333333333	non-smoker	0.6510201647685409
3rd Qu.	504.75	non-smoker	0.6510201647685409
Max.	919	non-smoker	0.6510201647685409
