Values	total	status	pValue
Min.	69	smoker	0.5235668328802008
1st Qu.	118	smoker	0.5235668328802008
Median	170	smoker	0.5235668328802008
Mean	474.384615384615	smoker	0.5235668328802008
3rd Qu.	278	smoker	0.5235668328802008
Max.	3804	smoker	0.5235668328802008
Min.	69	non-smoker	0.5235668328802008
1st Qu.	85.5	non-smoker	0.5235668328802008
Median	189	non-smoker	0.5235668328802008
Mean	185.636363636364	non-smoker	0.5235668328802008
3rd Qu.	271.5	non-smoker	0.5235668328802008
Max.	360	non-smoker	0.5235668328802008
