Values	total	status	pValue
Min.	20	smoker	0.010441216470093558
1st Qu.	67.5	smoker	0.010441216470093558
Median	82	smoker	0.010441216470093558
Mean	79.1818181818182	smoker	0.010441216470093558
3rd Qu.	101.5	smoker	0.010441216470093558
Max.	120	smoker	0.010441216470093558
Min.	64	non-smoker	0.010441216470093558
1st Qu.	116	non-smoker	0.010441216470093558
Median	142.5	non-smoker	0.010441216470093558
Mean	502.875	non-smoker	0.010441216470093558
3rd Qu.	167.5	non-smoker	0.010441216470093558
Max.	3104	non-smoker	0.010441216470093558
