Values	total	status	pValue
Min.	77	smoker	0.6221804511278195
1st Qu.	82.5	smoker	0.6221804511278195
Median	91.5	smoker	0.6221804511278195
Mean	179.5	smoker	0.6221804511278195
3rd Qu.	123	smoker	0.6221804511278195
Max.	604	smoker	0.6221804511278195
Min.	59	non-smoker	0.6221804511278195
1st Qu.	86.5	non-smoker	0.6221804511278195
Median	120	non-smoker	0.6221804511278195
Mean	149.066666666667	non-smoker	0.6221804511278195
3rd Qu.	157	non-smoker	0.6221804511278195
Max.	441	non-smoker	0.6221804511278195
