Values	total	status	pValue
Min.	15	smoker	0.7679831545745726
1st Qu.	84.5	smoker	0.7679831545745726
Median	106	smoker	0.7679831545745726
Mean	187.114285714286	smoker	0.7679831545745726
3rd Qu.	145	smoker	0.7679831545745726
Max.	2547	smoker	0.7679831545745726
Min.	18	non-smoker	0.7679831545745726
1st Qu.	73.75	non-smoker	0.7679831545745726
Median	100.5	non-smoker	0.7679831545745726
Mean	123.71875	non-smoker	0.7679831545745726
3rd Qu.	159	non-smoker	0.7679831545745726
Max.	440	non-smoker	0.7679831545745726
